"agency_name","address","city","email","phone_number","website"
"Patrick Remy Energieberatung Arbeitsvermittlung","August-Bebel-Str. 13","Obertshausen","","0177 3 34 00 99","http://www.solide-energieberatung.de"
"PERSUS Personal GmbH","Rotebachring 14, (Roßfeld)","Crailsheim","","07951 31 79 31-0",""
"pluss Augsburg - Care People (Medizin/Pflege) & Bildung und Soziales","Alfred-Nobel-Straße 9","Augsburg","","0821 60 84 00","https://www.pluss.de/kontakt?division=all&city=Augsburg&page=0&utm_source=advantago&utm_medium=highlight&utm_campaign=augsburg_cp_bus"
"pluss Freiburg - Care People (Medizin/Pflege) & Bildung und Soziales","Kaiser-Joseph-Straße 269","Freiburg","","0761 15 15 69 00","https://www.pluss.de/kontakt?division=all&city=Freiburg&page=0&utm_source=advantago&utm_medium=highlight&utm_campaign=freiburg_cp_bus"
"pluss Nürnberg - Care People (Medizin/Pflege) & Bildung und Soziales","Hansastraße 33, (Schweinau)","Nürnberg","","0911 3 68 10 30","https://www.pluss.de/kontakt?city=Nürnberg&utm_source=advantago&utm_medium=highlight&utm_campaign=nuernberg_cp_bus"
"pluss Saarbrücken - Care People (Medizin/Pflege) & Bildung und Soziales","Kleine Rosenstraße 5","Saarbrücken","","0681 88 39 55 30","https://www.pluss.de/kontakt?division=all&city=Saarbrücken&page=0&utm_source=advantago&utm_medium=highlight&utm_campaign=saarbruecken_cp_bus"
"plusswerk Düsseldorf - Industrie & Office","Bahnstraße 38, (Stadtmitte)","Düsseldorf","","0800 4 46 66 44",""
"plusswerk Hamm - Handwerk & Industrie","Oststraße 3, (Mitte)","Hamm","","0800 4 46 66 44",""
"Promedis24 GmbH","Martinistr. 57, (Altstadt)","Bremen","","0421 2 04 88 12","http://www.promedis24.de"
"ProServ Produktionsservice und Personaldienste GmbH","Johannespassage 4","Bühl","","07223 8 00 31 45",""
"ProServ Produktionsservice und Personaldienste GmbH","Michelinstraße 1","Bad Kreuznach","","0671 8 55 19 77",""
"ProServ Produktionsservice und Personaldienstleistungen GmbH","Altenwerder Hauptstraße 17","Hamburg","","040 5 34 59 52 83","https://proserv-dl.de/"
"ProServ Produktionsservice und Personaldienstleistungen GmbH Niederlassung Karlsruhe","Pfannkuchstraße 8","Karlsruhe","","0721 5 97 26 23",""
"reach + recruit | Employer Branding & Social Media Recruiting","Türkenstraße 48","München","","0179 6 18 47 67","https://reach-recruit.de/"
"Robert Walters Personalberatung Berlin","Eichhornstraße 3","Berlin","","030 7 67 58 89 80","https://www.robertwalters.de/kontakt/deutschland/berlin.html?utm_source=gmb&utm_medium=organic&utm_campaign=berlin"
"Robert Walters Personalberatung Düsseldorf","Fürstenwall 172","Düsseldorf","","0211 30 18 00 00","https://www.robertwalters.de/kontakt/deutschland/dusseldorf.html?utm_source=gmb&utm_medium=organic&utm_campaign=dusseldorf"
"Robert Walters Personalberatung Frankfurt","Main Tower","Frankfurt am Main","","069 2 44 37 85 03","https://www.robertwalters.de/kontakt/deutschland/frankfurt.html?utm_source=gmb&utm_medium=organic&utm_campaign=frankfurt"
"Robert Walters Personalberatung Hamburg","Gorch-Fock-Wall 1a","Hamburg","","040 3 77 07 39 90","https://www.robertwalters.de/kontakt/deutschland/hamburg.html?utm_source=gmb&utm_medium=organic&utm_campaign=hamburg"
"Robin Konrad-Merz RKM Pflege zu Hause","Brahmsstr. 24, (Lauda)","Lauda-Königshofen","","09343 65 95 19","http://www.rkmpflegezuhause.de"
"Sabine Voggenreiter Künstler- u. Designervermittlung","Kaiser-Wilhelm-Ring 18, (Neustadt-Nord)","Köln","","0221 2 58 47 23","http://voggenreiter.com"
"Sadik Shkreli Personalvermittler","Grasgasse 325, (Altstadt)","Landshut","","0871 20 21 60 62","http://www.sh-pvs.de"
"Sandra Hundegger Personalvermittlung","Schwimmbadstr. 26a","Benediktbeuern","","08857 69 71 63","http://www.personal-vermittlungen.com"
"Sarah Jerg Translations","Wilhelmstraße 55","Weingarten","","0176 93 13 34 93","https://sarah-jerg-translations.de/de"
"Schuschke GmbH","Hohenstaufenring 55, (Neustadt-Süd)","Köln","","0652 89 87 05","http://schuschke.com"
"skill-fisher deutschland gmbH","Bellevuestr. 1, (Tiergarten)","Berlin","","0170 2 26 79 86","http://www.skill-fisher.de"
